t,r,u,x1,x2
-4.59999999999999,40,37.2157529088308,38.6341223026717,38.932015192894
-4.55,40,37.2160074277219,38.634982118857,38.9326824297014
-4.5,40,37.2162618116526,38.6358413708751,38.9333492830094
-4.45,40,37.2165160598089,38.6367000592636,38.9340157531176
-4.39999999999999,40,37.2167701713906,38.6375581845595,38.9346818403203
-4.34999999999999,40,37.2170241456111,38.6384157472987,38.9353475449058
-4.3,40,37.2172779816965,38.6392727480167,38.9360128671571
-4.25,40,37.2175316788861,38.640129187248,38.9366778073516
-4.2,40,37.2177852364323,38.6409850655264,38.9373423657615
-4.14999999999999,40,37.2180386536011,38.641840383385,38.9380065426537
-4.09999999999999,40,37.2182919296702,38.6426951413558,38.93867033829
-4.05,40,37.2185450639301,38.6435493399703,38.939333752927
-4,40,37.2187980556843,38.644402979759,38.9399967868165
-3.95,40,37.2190509042479,38.6452560612515,38.9406594402054
-3.89999999999999,40,37.2193036089489,38.6461085849767,38.9413217133357
-3.84999999999999,40,37.2195561691268,38.6469605514625,38.9419836064448
-3.8,40,37.2198085841332,38.6478119612359,38.9426451197654
-3.75,40,37.2200608533315,38.6486628148232,38.9433062535257
-3.7,40,37.2203129760971,38.6495131127496,38.9439670079494
-3.64999999999999,40,37.2205649518164,38.6503628555396,38.9446273832559
-3.59999999999999,40,37.2208167798876,38.6512120437164,38.9452873796602
-3.55,40,37.2210684597201,38.6520606778027,38.9459469973734
-3.5,40,37.2213199907344,38.65290875832,38.946606236602
-3.45,40,37.2215713723622,38.653756285789,38.9472650975488
-3.39999999999999,40,37.2218226040461,38.6546032607293,38.9479235804126
-3.34999999999999,40,37.2220736852395,38.6554496836596,38.9485816853881
-3.3,40,37.2223246154063,38.6562955550977,38.9492394126663
-3.25,40,37.2225753940212,38.6571408755603,38.9498967624345
-3.2,40,37.2228260205692,38.6579856455632,38.9505537348763
-3.14999999999999,40,37.2230764945454,38.6588298656212,38.9512103301717
-3.09999999999999,40,37.2233268154559,38.6596735362479,38.9518665484971
-3.05,40,37.2235769828164,38.6605166579563,38.9525223900255
-3,40,37.2238269961525,38.661359231258,38.9531778549266
-2.95,40,37.2240768549999,38.6622012566637,38.9538329433667
-2.89999999999999,40,37.2243265589038,38.6630427346831,38.9544876555087
-2.84999999999999,40,37.2245761074193,38.6638836658249,38.9551419915126
-2.8,40,37.2248255001106,38.6647240505967,38.9557959515352
-2.75,40,37.2250747365519,38.665563889505,38.9564495357301
-2.7,40,37.2253238163266,38.6664031830555,38.9571027442481
-2.64999999999999,40,37.2255727390273,38.6672419317524,38.957755577237
-2.59999999999999,40,37.2258215042552,38.6680801360992,38.9584080348417
-2.55,40,37.2260701116211,38.6689177965983,38.9590601172045
-2.5,40,37.2263185607445,38.6697549137508,38.9597118244647
-2.45,40,37.2265668512532,38.670591488057,38.960363156759
-2.39999999999999,40,37.2268149827849,38.6714275200159,38.9610141142218
-2.34999999999999,40,37.2270629549845,38.6722630101256,38.9616646969844
-2.3,40,37.2273107675062,38.673097958883,38.9623149051762
-2.25,40,37.2275584200124,38.6739323667838,38.9629647389236
-2.2,40,37.2278059121736,38.6747662343229,38.9636141983511
-2.14999999999999,40,37.2280532436685,38.6755995619938,38.9642632835805
-2.09999999999999,40,37.2283004141842,38.676432350289,38.9649119947317
-2.05,40,37.2285474234157,38.6772645997001,38.965560331922
-2,40,37.2287942710654,38.6780963107172,38.9662082952669
-1.95,40,37.2290409568437,38.6789274838296,38.9668558848795
-1.89999999999999,40,37.229287480469,38.6797581195253,38.967503100871
-1.84999999999999,40,37.2295338416671,38.6805882182914,38.9681499433507
-1.8,40,37.2297800401711,38.6814177806137,38.9687964124257
-1.75,40,37.2300260757218,38.6822468069768,38.9694425082014
-1.7,40,37.2302719480672,38.6830752978644,38.9700882307812
-1.64999999999999,40,37.2305176569625,38.6839032537589,38.9707335802668
-1.59999999999999,40,37.2307632021699,38.6847306751417,38.9713785567581
-1.55,40,37.2310085834588,38.685557562493,38.9720231603535
-1.5,40,37.2312538006055,38.6863839162919,38.9726673911493
-1.45,40,37.2314988533933,38.6872097370163,38.9733112492407
-1.39999999999999,40,37.2317437416121,38.6880350251431,38.9739547347209
-1.34999999999999,40,37.2319884650585,38.6888597811478,38.9745978476818
-1.3,40,37.2322330235357,38.6896840055052,38.9752405882138
-1.25,40,37.2324774168534,38.6905076986886,38.9758829564059
-1.2,40,37.2327216448277,38.6913308611702,38.9765249523456
-1.14999999999999,40,37.2329657072812,38.6921534934212,38.9771665761191
-1.09999999999999,40,37.2332096040426,38.6929755959116,38.9778078278113
-1.05,40,37.2334533349472,38.6937971691103,38.9784487075058
-1,40,37.2336968998359,38.694618213485,38.9790892152852
-0.950000000000003,40,37.2339402985555,38.6954387295022,38.9797293512305
-0.899999999999991,40,37.2341835309591,38.6962587176275,38.9803691154219
-0.849999999999994,40,37.2344265969058,38.6970781783251,38.9810085079383
-0.799999999999997,40,37.23466949626,38.6978971120583,38.9816475288576
-0.75,40,37.2349122288921,38.698715519289,38.9822861782568
-0.700000000000003,40,37.2351547946781,38.6995334004781,38.9829244562116
-0.649999999999991,40,37.2353971934996,38.7003507560855,38.983562362797
-0.599999999999994,40,37.2356394252437,38.7011675865697,38.9841998980869
-0.549999999999997,40,37.2358814898026,38.7019838923883,38.9848370621545
-0.5,40,37.236123387074,38.7027996739975,38.9854738550721
-0.450000000000003,40,37.2363651169607,38.7036149318527,38.986110276911
-0.399999999999991,40,37.2366066793714,38.704429666408,38.9867463277418
-0.349999999999994,40,37.2368480742188,38.7052438781162,38.9873820076346
-0.299999999999997,40,37.2370893014214,38.7060575674293,38.9880173166584
-0.25,40,37.2373303609026,38.7068707347979,38.9886522548817
-0.200000000000003,40,37.2375712525904,38.7076833806717,38.9892868223724
-0.149999999999991,40,37.2378119764176,38.7084955054991,38.9899210191976
-0.0999999999999943,40,37.2380525323221,38.7093071097274,38.990554845424
-0.0499999999999972,40,37.2382929202465,38.7101181938028,38.9911883011175
0,60,37.2385331401374,38.7109287581705,38.9918213863438
0.0499999999999972,60,100,38.7128234523772,39.3710133498468
0.100000000000009,60,100,38.7157908412714,39.7491188469939
0.150000000000006,60,100,38.7198196647165,40.1261461879404
0.200000000000003,60,100,38.7248988332647,40.5021035410168
